countryRegionId,year,productId,value,unit,activityId
POL,2020,44,3.9917354672766368,QBTU,2
POL,2020,44,4211503.866861046,TJ,2
POL,2020,47,106.71619996916566,MBTUPP,33
POL,2020,47,3.2863418971127647,TBTUUSDPP,34
POL,2020,4008,284.267254454,MMTCD,8
POL,2021,44,54.07025171694135,MTOE,1
POL,2021,44,2.145681002822161,QBTU,1
POL,2021,44,2263813.2998830713,TJ,1
POL,2021,44,103.98178844327424,MTOE,2
POL,2021,44,4.126330856941448,QBTU,2
POL,2021,44,4353509.520462575,TJ,2
POL,2021,47,111.64734974993507,MBTUPP,33
POL,2021,47,3.1796724236326797,TBTUUSDPP,34
POL,2021,4008,297.447061102,MMTCD,8
POL,2022,44,51.33754537884658,MTOE,1
POL,2022,44,2.037238450961347,QBTU,1
POL,2022,44,2149400.350869272,TJ,1
POL,2022,44,101.8611403457163,MTOE,2
POL,2022,44,4.042176739064921,QBTU,2
POL,2022,44,4264722.225874871,TJ,2
POL,2022,47,109.82761293966269,MBTUPP,33
POL,2022,47,2.951737147006382,TBTUUSDPP,34
POL,2022,4008,290.590171751,MMTCD,8
POL,2023,44,46.23542089603076,MTOE,1
POL,2023,44,1.8347697878945972,QBTU,1
POL,2023,44,1935784.602928551,TJ,1
POL,2023,44,95.76057215328592,MTOE,2
POL,2023,44,3.8000866273812406,QBTU,2
POL,2023,44,4009303.6366815753,TJ,2
POL,2023,47,103.62718590105848,MBTUPP,33
POL,2023,47,2.7709421042209534,TBTUUSDPP,34
POL,2023,4008,264.030646413,MMTCD,8
ROU,2020,44,20.455664013690452,MTOE,1
ROU,2020,44,0.8117463536892772,QBTU,1
ROU,2020,44,856437.7413028163,TJ,1
ROU,2020,44,30.409973203510937,MTOE,2
ROU,2020,44,1.2067652679090477,QBTU,2
ROU,2020,44,1273204.758645983,TJ,2
ROU,2020,47,62.69122167289014,MBTUPP,33
ROU,2020,47,2.2232095682358683,TBTUUSDPP,34
ROU,2020,4008,65.621638013,MMTCD,8
ROU,2021,44,20.916241229114483,MTOE,1
ROU,2021,44,0.8300235347655107,QBTU,1
ROU,2021,44,875721.1881666922,TJ,1
ROU,2021,44,32.15125201071665,MTOE,2
ROU,2021,44,1.2758647956271234,QBTU,2
ROU,2021,44,1346108.6197782168,TJ,2
ROU,2021,47,66.79165055821558,MBTUPP,33
ROU,2021,47,2.2261906201961024,TBTUUSDPP,34
ROU,2021,4008,70.972594555,MMTCD,8
ROU,2022,44,20.570724447599765,MTOE,1
ROU,2022,44,0.816312320729862,QBTU,1
ROU,2022,44,861255.0915518556,TJ,1
ROU,2022,44,29.525328074740656,MTOE,2
ROU,2022,44,1.1716597119560537,QBTU,2
ROU,2022,44,1236166.436378298,TJ,2
ROU,2022,47,61.504382250310165,MBTUPP,33
ROU,2022,47,1.9613756449870936,TBTUUSDPP,34
ROU,2022,4008,65.986199982,MMTCD,8
ROU,2023,44,20.464102818530844,MTOE,1
ROU,2023,44,0.8120812325303696,QBTU,1
ROU,2023,44,856791.0571840296,TJ,1
ROU,2023,44,28.413241874426294,MTOE,2
ROU,2023,44,1.1275285648327351,QBTU,2
ROU,2023,44,1189605.6113230065,TJ,2
ROU,2023,47,59.14844992142952,MBTUPP,33
ROU,2023,47,1.8470642739685292,TBTUUSDPP,34
ROU,2023,4008,61.416105034,MMTCD,8
SVK,2020,44,5.622146102890879,MTOE,1
SVK,2020,44,0.2231047887702714,QBTU,1
SVK,2020,44,235388.01313962368,TJ,1
SVK,2020,44,16.686891630037444,MTOE,2
SVK,2020,44,0.6621893782585273,QBTU,2
SVK,2020,44,698646.7790744583,TJ,2
SVK,2020,47,121.3008559080486,MBTUPP,33
SVK,2020,47,3.989450729363824,TBTUUSDPP,34
SVK,2020,4008,30.031405264,MMTCD,8
SVK,2021,44,6.057226290237255,MTOE,1
SVK,2021,44,0.2403701659980405,QBTU,1
SVK,2021,44,253603.95043147355,TJ,1
SVK,2021,44,18.326643848250736,MTOE,2
SVK,2021,44,0.7272600053082136,QBTU,2
SVK,2021,44,767299.924976883,TJ,2
SVK,2021,47,133.58650074093129,MBTUPP,33
SVK,2021,47,4.146934932981171,TBTUUSDPP,34
SVK,2021,4008,33.17484546,MMTCD,8
SVK,2022,44,5.982810453216666,MTOE,1
SVK,2022,44,0.2374171069177892,QBTU,1
SVK,2022,44,250488.3081657218,TJ,1
SVK,2022,44,17.210742872233563,MTOE,2
SVK,2022,44,0.6829774756502179,QBTU,2
SVK,2022,44,720579.382892396,TJ,2
SVK,2022,47,125.7551034043412,MBTUPP,33
SVK,2022,47,3.8733309569893977,TBTUUSDPP,34
SVK,2022,4008,30.252778272,MMTCD,8
SVK,2023,44,6.305653630091463,MTOE,1
SVK,2023,44,0.2502285596022968,QBTU,1
SVK,2023,44,264005.1063010757,TJ,1
SVK,2023,44,17.042675580766375,MTOE,2
SVK,2023,44,0.6763080264975717,QBTU,2
SVK,2023,44,713542.7415301452,TJ,2
SVK,2023,47,124.63690721646532,MBTUPP,33
SVK,2023,47,3.7561545747707585,TBTUUSDPP,34
SVK,2023,4008,30.087097588,MMTCD,8
